iter	Passed	Remaining
0	165	165142
1	166	83033
2	167	55554
3	168	42033
4	169	33802
5	170	28279
6	173	24558
7	175	21708
8	176	19420
9	177	17537
10	177	15992
11	178	14705
12	179	13615
13	180	12687
14	184	12129
15	186	11439
16	188	10879
17	189	10319
18	189	9807
19	190	9348
20	191	8930
21	192	8549
22	193	8227
23	194	7906
24	197	7694
25	198	7428
26	199	7193
27	201	6991
28	202	6782
29	203	6575
30	204	6379
31	204	6194
32	205	6021
33	206	5857
34	206	5702
35	207	5557
36	208	5425
37	209	5297
38	211	5204
39	212	5096
40	213	4992
41	214	4897
42	215	4797
43	216	4703
44	217	4611
45	217	4520
46	218	4433
47	219	4351
48	220	4271
49	220	4195
50	221	4122
51	222	4052
52	223	3985
53	225	3947
54	226	3894
55	228	3846
56	229	3790
57	229	3733
58	230	3678
59	231	3624
60	232	3571
61	232	3521
62	233	3472
63	234	3425
64	234	3380
65	235	3335
66	236	3292
67	237	3251
68	237	3211
69	239	3185
70	240	3148
71	242	3120
72	243	3088
73	244	3056
74	245	3023
75	245	2989
76	246	2955
77	247	2923
78	247	2891
79	248	2859
80	249	2829
81	250	2799
82	250	2766
83	251	2738
84	251	2711
85	252	2684
86	254	2671
87	255	2650
88	257	2635
89	258	2611
90	258	2587
91	259	2564
92	260	2541
93	261	2518
94	261	2495
95	262	2473
96	263	2452
97	264	2431
98	264	2410
99	265	2389
100	266	2368
101	266	2349
102	267	2329
103	269	2323
104	271	2310
105	272	2299
106	273	2284
107	274	2266
108	275	2248
109	275	2231
110	276	2214
111	277	2197
112	277	2181
113	278	2165
114	279	2150
115	280	2134
116	280	2118
117	281	2104
118	282	2089
119	282	2075
120	285	2074
121	286	2061
122	287	2050
123	288	2038
124	289	2024
125	289	2011
126	290	1996
127	291	1984
128	292	1971
129	292	1959
130	293	1946
131	294	1935
132	295	1923
133	295	1912
134	296	1900
135	297	1889
136	298	1878
137	299	1873
138	300	1863
139	301	1852
140	302	1843
141	303	1831
142	303	1821
143	304	1811
144	305	1801
145	306	1793
146	307	1785
147	308	1777
148	309	1768
149	310	1758
150	310	1748
151	311	1738
152	312	1728
153	312	1719
154	314	1717
155	316	1710
156	317	1706
157	318	1698
158	319	1692
159	320	1684
160	321	1675
161	322	1666
162	323	1658
163	323	1650
164	324	1641
165	325	1633
166	325	1625
167	326	1616
168	327	1608
169	327	1600
170	329	1598
171	330	1592
172	331	1585
173	333	1581
174	333	1574
175	334	1567
176	335	1559
177	336	1552
178	336	1544
179	337	1537
180	338	1530
181	338	1523
182	339	1516
183	340	1509
184	341	1502
185	341	1495
186	342	1489
187	343	1482
188	356	1531
189	357	1524
190	358	1517
191	359	1510
192	360	1506
193	362	1504
194	363	1502
195	364	1497
196	365	1490
197	366	1484
198	367	1478
199	367	1471
200	368	1465
201	369	1459
202	370	1452
203	370	1447
204	371	1441
205	372	1435
206	373	1430
207	374	1424
208	375	1420
209	377	1418
210	378	1415
211	380	1415
212	381	1410
213	382	1405
214	383	1401
215	384	1396
216	385	1391
217	386	1386
218	387	1380
219	387	1375
220	388	1369
221	389	1364
222	391	1364
223	392	1360
224	393	1356
225	394	1351
226	395	1346
227	396	1340
228	396	1336
229	398	1332
230	399	1329
231	400	1325
232	401	1320
233	401	1315
234	402	1310
235	403	1305
236	403	1300
237	404	1295
238	405	1291
239	407	1289
240	408	1286
241	409	1282
242	410	1279
243	411	1275
244	412	1270
245	412	1265
246	413	1261
247	414	1256
248	415	1251
249	415	1247
250	416	1242
251	417	1238
252	417	1233
253	418	1229
254	419	1224
255	419	1220
256	421	1218
257	422	1215
258	423	1212
259	425	1209
260	425	1205
261	426	1201
262	427	1197
263	428	1193
264	428	1189
265	429	1184
266	430	1180
267	430	1176
268	431	1172
269	432	1168
270	432	1164
271	433	1160
272	434	1156
273	435	1154
274	436	1151
275	437	1148
276	438	1145
277	439	1141
278	440	1137
279	441	1134
280	441	1130
281	442	1126
282	443	1122
283	443	1119
284	444	1115
285	445	1111
286	445	1107
287	446	1104
288	447	1100
289	448	1097
290	448	1093
291	449	1089
292	450	1087
293	452	1085
294	454	1085
295	455	1082
296	456	1079
297	456	1076
298	457	1073
299	458	1070
300	459	1067
301	460	1064
302	461	1061
303	462	1057
304	462	1054
305	463	1051
306	464	1047
307	464	1044
308	466	1043
309	467	1040
310	468	1038
311	469	1035
312	470	1032
313	471	1029
314	471	1026
315	472	1023
316	473	1020
317	474	1017
318	475	1015
319	476	1012
320	477	1010
321	479	1009
322	481	1009
323	482	1007
324	483	1004
325	484	1002
326	485	999
327	486	996
328	487	994
329	488	992
330	489	990
331	490	987
332	491	984
333	492	981
334	493	978
335	493	975
336	494	972
337	496	971
338	497	969
339	498	967
340	499	965
341	500	963
342	501	960
343	502	957
344	502	954
345	503	951
346	504	948
347	504	946
348	505	943
349	506	940
350	506	937
351	507	934
352	508	931
353	509	928
354	511	928
355	512	927
356	513	925
357	514	923
358	515	920
359	516	918
360	517	915
361	517	912
362	518	910
363	519	907
364	520	904
365	520	902
366	521	899
367	522	896
368	522	894
369	523	891
370	524	889
371	526	888
372	527	886
373	528	884
374	529	883
375	530	880
376	531	878
377	532	875
378	532	873
379	533	870
380	534	867
381	535	865
382	535	863
383	536	860
384	537	858
385	538	856
386	538	853
387	539	851
388	541	849
389	542	848
390	543	846
391	544	844
392	545	842
393	546	840
394	546	837
395	547	835
396	548	832
397	549	830
398	549	828
399	550	825
400	551	823
401	551	820
402	552	818
403	553	816
404	554	814
405	555	813
406	556	811
407	558	809
408	558	807
409	559	805
410	560	803
411	561	801
412	562	799
413	563	797
414	563	794
415	564	792
416	565	790
417	566	788
418	566	786
419	567	783
420	568	781
421	569	779
422	569	777
423	571	776
424	572	775
425	573	773
426	574	771
427	575	769
428	576	766
429	577	764
430	578	763
431	579	762
432	580	760
433	581	758
434	581	755
435	582	753
436	583	751
437	584	749
438	584	747
439	586	746
440	587	744
441	589	743
442	590	741
443	590	739
444	591	737
445	592	735
446	592	733
447	593	731
448	594	729
449	595	727
450	595	725
451	596	723
452	597	721
453	597	718
454	598	716
455	599	714
456	599	712
457	601	712
458	602	710
459	604	709
460	605	707
461	605	705
462	606	703
463	607	701
464	608	699
465	608	697
466	609	695
467	610	693
468	611	691
469	611	689
470	612	687
471	613	686
472	613	684
473	614	682
474	617	682
475	618	681
476	619	679
477	620	677
478	621	675
479	622	674
480	623	672
481	624	670
482	624	668
483	625	666
484	626	664
485	626	662
486	627	661
487	628	659
488	628	657
489	629	655
490	632	655
491	634	655
492	635	653
493	636	651
494	636	649
495	637	647
496	638	646
497	639	644
498	639	642
499	640	640
500	641	638
501	642	636
502	642	635
503	643	633
504	644	631
505	644	629
506	646	628
507	647	627
508	648	625
509	649	623
510	650	622
511	651	621
512	652	619
513	653	617
514	654	616
515	656	615
516	656	613
517	657	611
518	658	610
519	659	608
520	659	606
521	662	606
522	663	605
523	664	603
524	665	601
525	665	600
526	666	598
527	668	597
528	669	595
529	669	594
530	670	592
531	671	590
532	672	588
533	672	587
534	673	585
535	674	583
536	674	581
537	677	581
538	678	579
539	679	578
540	680	577
541	681	575
542	682	574
543	682	572
544	684	571
545	684	569
546	686	568
547	686	566
548	687	564
549	688	563
550	689	561
551	689	559
552	692	559
553	693	558
554	695	557
555	696	556
556	697	554
557	697	552
558	698	551
559	699	549
560	700	547
561	700	546
562	701	544
563	702	542
564	702	541
565	703	539
566	704	537
567	704	536
568	707	535
569	708	534
570	709	532
571	710	531
572	710	529
573	711	528
574	712	526
575	713	524
576	714	523
577	714	521
578	715	520
579	716	519
580	717	517
581	719	516
582	720	515
583	721	514
584	722	512
585	723	511
586	724	509
587	725	508
588	726	506
589	726	505
590	727	503
591	728	501
592	729	500
593	729	498
594	730	497
595	731	495
596	732	494
597	733	492
598	734	491
599	736	491
600	738	490
601	739	488
602	740	487
603	740	485
604	742	484
605	742	482
606	743	481
607	744	479
608	745	478
609	746	477
610	747	475
611	748	474
612	749	472
613	750	471
614	750	470
615	752	469
616	753	467
617	754	466
618	755	465
619	756	463
620	757	462
621	758	460
622	758	459
623	759	457
624	760	456
625	761	454
626	761	453
627	763	451
628	764	450
629	764	449
630	767	448
631	769	447
632	770	446
633	770	445
634	772	443
635	773	442
636	774	441
637	775	439
638	776	438
639	776	436
640	777	435
641	779	434
642	780	433
643	782	432
644	784	431
645	787	431
646	789	430
647	790	429
648	791	428
649	792	426
650	793	425
651	793	423
652	794	422
653	795	420
654	796	419
655	798	418
656	799	417
657	800	416
658	801	414
659	803	413
660	805	412
661	806	411
662	806	410
663	807	408
664	808	407
665	809	405
666	810	404
667	811	403
668	812	401
669	813	400
670	814	399
671	815	398
672	816	396
673	818	395
674	820	394
675	821	393
676	822	392
677	822	390
678	823	389
679	824	387
680	826	386
681	827	385
682	827	384
683	828	382
684	829	381
685	830	380
686	831	378
687	832	377
688	833	376
689	835	375
690	837	374
691	837	372
692	838	371
693	839	370
694	841	369
695	842	367
696	842	366
697	843	365
698	845	363
699	846	362
700	847	361
701	849	360
702	850	359
703	851	357
704	851	356
705	852	355
706	853	353
707	855	352
708	856	351
709	857	350
